recipe_slug	score_bound
falafel	1.9959624128434637
spamburger	1.928469803269291
bacon-fried-rice	2.826325778100954
chicken-fingers	2.071384006479873
apple-crisp	2.5587668690035676
cranberry-apple-crisp	2.5402046845795363
bacon-chocolate-chip-cookies	2.7249571850612346
sujebi	1.897445509050467
pasta-primavera	1.9702045797195151
ramen	1.94435525346148
brownies	2.728349720984863
bacon-wrapped-scallops	2.726435811863172
bacon-egg-muffins	2.734220115883586
breakfast-burritos	2.5688606039899984
bolognese-sauce	2.2435275544794813
croissants	2.3445566822171715
bacon-souffle	2.4713333429779563
souffle	2.0956859419174996
chocolate-souffle	2.447561543870895
butter-croissants	2.239187121303857
pickled-green-beans	1.8679450452943644
fried-oysters	1.8598999420572793
peanut-butter-brownies	2.6124478791492054
almond-chip-cookies	2.464970789287663
guacamole	2.102789422771463
brioche-bread	2.32951111462843
brioche-bread-with-chocolate	2.6940977748782977
asparagus-quiche	2.046432036108473
asparagus-burger	1.8665486584388356
ma-la-chicken	2.3753930925823856
cold-noodles-with-tomatoes	2.13650894314888
tamales	2.365737349385599
enchiladas	2.292463068639176
tacos	2.3314547059848807
burritos	2.279966317025171
peanut-butter-cupcakes	2.725328638621889
pickled-asparagus	1.821154586252273
chocolate-peanut-butter-cake	2.6938611783415967
udon	1.9906053142787292
vegetable-lasagna	1.7560364724777942
maple-bacon-donuts	2.7732218051707305
maple-bacon-pancakes	2.6957372052334723
spinach-and-ricotta-stuffed-shells	1.99963791714075
quesadillas	2.370386283758659
pico-de-gallo	2.015085851859453
nachos	2.292901083618787
cold-soba-noodles-with-tomato-and-cucumber	1.8223805555501837
fajitas	2.342171312708854
loaded-nachos	2.490359331775708
lasagna	2.355203143583318
chicken-nuggets	2.0947207540466297
pain-au-chocolat	2.846497519918937
nacho-dip	2.2596288249044107
nacho-salad	2.3500107255582163
nacho-casserole	2.442130716643772
nacho-fries	2.572741924918349
tempura-udon	2.0642667541138113
peach-crisp	2.4183779913056154
apple-pie	2.6100668419780573
blueberry-crisp	2.367250627288533
berry-crumble	2.266847873040865
strawberry-rhubarb-crisp	2.3861222505563586
peach-cobbler	2.4277073821730673
cranberry-sauce	2.2417716721669816
cherry-cobbler	2.403690437547164
apple-crumble	2.6226283198497793
chocolate-croissants	2.638089808605069
french-toast	2.2825031591480864
chocolate-babka	2.853720293974784
cinnamon-babka	2.3763617817258966
blueberry-crumble	2.2957200835000986
spam-musubi	1.898403274953215
taco-salad	2.338636877473201
chiles-rellenos	2.034105683956629
almond-croissants	2.4337498803082434
cranberry-relish	2.075105005500314
ma-la-beef	2.301267342548874
chocolate-cake	2.654515282299682
spinach-quiche	2.016457251168759
mushroom-quiche	2.0832768332106184
quiche-lorraine	2.36833804814685
croissant-aux-amandes	2.5632852495631444
danishes	2.547774787469081
spinach-and-feta-quiche	2.023557176789746
cold-sesame-noodles	1.8448348126802872
soba-noodle-salad-with-peanut-dressing	2.0313751805458145
dan-dan-noodles	2.367941013268327
vanilla-souffle	2.54019129660004
bacon-wrapped-dates	2.7023761305642005
cherry-pie	2.4692100923739284
berry-crisp	2.404141572658969
bacon-and-egg-breakfast-sandwich	2.73067870809355
bacon-wrapped-shrimp-skewers	2.7605720768587467
bacon-wrapped-chicken	2.8213927940762162
bacon-wrapped-asparagus	2.7732868386114884
bacon-mac-and-cheese	2.805972991529868
chicken-alfredo-lasagna	2.4424040429375493
classic-beef-lasagna	2.4184431576112244
vegetarian-mushroom-lasagna	1.9338062227786446
spinach-and-ricotta-lasagna	2.1553330754756903
