recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.75
ma-la-chicken	7.242588778272628	0.5
quesadillas	7.230044218118725	0.5
ramen	7.236198644617443	0.0
pain-au-chocolat	6.957115301306711	1.0
chocolate-babka	7.0061044550096305	1.0
spamburger	6.997436792789421	0.0
bacon-fried-rice	6.931897557925776	1.0
nacho-fries	6.752051265819583	0.75
cranberry-sauce	6.7330773589763675	0.5
asparagus-quiche	6.643918282850828	0.25
strawberry-rhubarb-crisp	6.516852121366184	0.5
guacamole	6.476409540966618	0.25
apple-pie	6.397907876130847	0.75
bacon-wrapped-asparagus	6.34594393504927	1.0
bacon-wrapped-chicken	6.3257034782165205	1.0
cold-noodles-with-tomatoes	6.279934620813862	0.25
brioche-bread	6.269251079034187	0.5
tamales	6.140883913844602	0.5
asparagus-burger	6.111473722858563	0.0
dan-dan-noodles	6.097236021355531	0.5
apple-crisp	6.070991133490018	0.75
mushroom-quiche	6.042528170094743	0.25
taco-salad	5.908513405089774	0.5
bacon-mac-and-cheese	5.84863096469023	1.0
chicken-nuggets	5.817318845302451	0.25
croissants	5.793712947802195	0.5
bacon-wrapped-shrimp-skewers	5.709068918557988	1.0
fajitas	5.676923271395567	0.5
breakfast-burritos	5.6428799076524	0.75
spam-musubi	5.605527720764084	0.0
chocolate-peanut-butter-cake	5.585000496480978	1.0
croissant-aux-amandes	5.55110110414903	0.75
sujebi	5.522189464426274	0.0
tacos	5.528545841674008	0.5
cranberry-apple-crisp	5.504653740153267	0.75
quiche-lorraine	5.416214819442684	0.5
nacho-salad	5.359750684839648	0.5
danishes	5.30990422361576	0.75
souffle	5.290659132793764	0.25
nachos	5.241627188956967	0.5
brownies	5.2383806773651	1.0
spinach-and-ricotta-lasagna	5.138809886278714	0.5
cherry-pie	5.112000872024981	0.75
bacon-wrapped-scallops	5.082174097473163	1.0
brioche-bread-with-chocolate	5.070847203548632	1.0
loaded-nachos	5.064004450567365	0.75
vanilla-souffle	5.062463220738584	0.75
enchiladas	5.043199189275836	0.5
soba-noodle-salad-with-peanut-dressing	5.039175962951051	0.25
bacon-egg-muffins	5.000465506315324	1.0
maple-bacon-donuts	5.004560924530651	1.0
peanut-butter-cupcakes	4.876388843712252	1.0
peach-crisp	4.869686090538406	0.75
ma-la-beef	4.8413273388670675	0.5
pickled-green-beans	4.813418719772065	0.0
bacon-and-egg-breakfast-sandwich	4.797336038616114	1.0
bacon-wrapped-dates	4.75495006393008	1.0
spinach-quiche	4.718133139204621	0.25
bacon-chocolate-chip-cookies	4.643687555751869	1.0
classic-beef-lasagna	4.6314373895713805	0.75
chicken-fingers	4.618440298615668	0.25
burritos	4.586660456952083	0.5
chiles-rellenos	4.571994241763472	0.25
cold-sesame-noodles	4.550986639880883	0.0
cranberry-relish	4.534951933754588	0.25
tempura-udon	4.520332793225683	0.25
almond-croissants	4.4994109860362315	0.75
falafel	4.47074706115035	0.25
maple-bacon-pancakes	4.467568256809308	1.0
chicken-alfredo-lasagna	4.467469259891558	0.75
peach-cobbler	4.35653382429064	0.75
french-toast	4.31623680031919	0.5
fried-oysters	4.316775349105347	0.0
almond-chip-cookies	4.2604734099338994	0.75
nacho-casserole	4.2215685032380685	0.75
berry-crisp	4.222781345467543	0.75
pico-de-gallo	4.218401496551763	0.25
bolognese-sauce	4.218806461459268	0.5
cold-soba-noodles-with-tomato-and-cucumber	4.143551729611107	0.0
nacho-dip	4.1207119008703295	0.5
chocolate-croissants	4.096368766456262	1.0
spinach-and-feta-quiche	4.058289665389159	0.25
chocolate-cake	4.030577839450588	1.0
pickled-asparagus	3.9771187652642883	0.0
udon	3.9096924868269474	0.25
lasagna	3.8919856091511624	0.75
blueberry-crumble	3.869933752139757	0.75
peanut-butter-brownies	3.827575627912817	1.0
pasta-primavera	3.806126095932066	0.25
cherry-cobbler	3.7580101916547815	0.75
cinnamon-babka	3.5798351760869656	0.75
blueberry-crisp	3.4977460812305905	0.75
vegetarian-mushroom-lasagna	3.33222534206579	0.25
bacon-souffle	3.2470319264651852	1.0
chocolate-souffle	3.205993908545895	1.0
berry-crumble	3.059503044577444	0.75
butter-croissants	3.0170986590845956	0.75
spinach-and-ricotta-stuffed-shells	3.0142849177636455	0.5
vegetable-lasagna	2.492689634618429	0.25
